Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
     0,  9.4958e+01, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6726843683026962e-01
     1,  9.4958e+01, -1.2758498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6726843683026962e-01
     2,  9.4958e+01, -1.2858498790955863e-01, -2.3459704829106243e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6726843683026962e-01
     3,  9.4958e+01, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5182830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6726843683026962e-01
     4,  9.4958e+01, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2374027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6726843683026962e-01
     5,  9.4958e+01, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2248275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6726843683026962e-01
     6,  9.4958e+01, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.2727065047290865e-02,  3.1313084421476300e-01, -1.6726843683026962e-01
     7,  9.4958e+01, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1469649843583680e-01, -1.6726843683026962e-01
     8,  9.4958e+01, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6626843683026962e-01
     9,  3.8308e+02, -1.2858499079131183e-01, -2.4459700330490726e-02,  1.5082830936547584e-01,  1.2274027094820057e-01,  1.2148274569172458e-01, -3.3727065611490005e-02,  3.1313084892151927e-01, -1.6726843638436542e-01
    10,  3.8308e+02, -1.2758499079131183e-01, -2.4459700330490726e-02,  1.5082830936547584e-01,  1.2274027094820057e-01,  1.2148274569172458e-01, -3.3727065611490005e-02,  3.1313084892151927e-01, -1.6726843638436542e-01
    11,  3.8308e+02, -1.2858499079131183e-01, -2.3459700330490725e-02,  1.5082830936547584e-01,  1.2274027094820057e-01,  1.2148274569172458e-01, -3.3727065611490005e-02,  3.1313084892151927e-01, -1.6726843638436542e-01
    12,  3.8308e+02, -1.2858499079131183e-01, -2.4459700330490726e-02,  1.5182830936547584e-01,  1.2274027094820057e-01,  1.2148274569172458e-01, -3.3727065611490005e-02,  3.1313084892151927e-01, -1.6726843638436542e-01
    13,  3.8308e+02, -1.2858499079131183e-01, -2.4459700330490726e-02,  1.5082830936547584e-01,  1.2374027094820057e-01,  1.2148274569172458e-01, -3.3727065611490005e-02,  3.1313084892151927e-01, -1.6726843638436542e-01
    14,  3.8308e+02, -1.2858499079131183e-01, -2.4459700330490726e-02,  1.5082830936547584e-01,  1.2274027094820057e-01,  1.2248274569172458e-01, -3.3727065611490005e-02,  3.1313084892151927e-01, -1.6726843638436542e-01
    15,  3.8308e+02, -1.2858499079131183e-01, -2.4459700330490726e-02,  1.5082830936547584e-01,  1.2274027094820057e-01,  1.2148274569172458e-01, -3.2727065611490004e-02,  3.1313084892151927e-01, -1.6726843638436542e-01
    16,  3.8308e+02, -1.2858499079131183e-01, -2.4459700330490726e-02,  1.5082830936547584e-01,  1.2274027094820057e-01,  1.2148274569172458e-01, -3.3727065611490005e-02,  3.1469650316612685e-01, -1.6726843638436542e-01
    17,  3.8308e+02, -1.2858499079131183e-01, -2.4459700330490726e-02,  1.5082830936547584e-01,  1.2274027094820057e-01,  1.2148274569172458e-01, -3.3727065611490005e-02,  3.1313084892151927e-01, -1.6626843638436542e-01
