Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7),objective_function
     0,  1.9255e+01, -1.2858498790955863e-01, -2.4459704829106244e-02,  1.5082830607790851e-01,  1.2274027451979926e-01,  1.2148275814232390e-01, -3.3727065047290866e-02,  3.1313084421476300e-01, -1.6726843683026962e-01,  8.5687773722802257e-02
     1,  1.1424e+02, -1.2273420524419776e-01, -6.9913362859664041e-03,  1.4084988174412919e-01,  9.2212462204402282e-02,  7.3544264114782487e-02, -1.9340051197932126e-02,  3.0191449967428213e-01, -1.6088051468534095e-01,  2.9731069949086503e-01
     2,  1.3365e+02, -1.3167435410782669e-01, -2.1829603647320169e-02,  1.4902495370708599e-01,  1.1878876372397529e-01,  1.0719444941967168e-01, -3.2708442975111079e-02,  3.1571644469368804e-01, -1.6960403131740431e-01,  8.6419664246871031e-02
     3,  1.5304e+02, -1.2942571038643966e-01, -2.3829327972752650e-02,  1.5058701520309661e-01,  1.2196180763142625e-01,  1.1785037623123870e-01, -3.3521116793007240e-02,  3.1377390733114235e-01, -1.6787900984005122e-01,  8.6320565361281146e-02
     4,  1.7171e+02, -1.2879662863227520e-01, -2.4279673180340331e-02,  1.5081926102213605e-01,  1.2254834144722178e-01,  1.2057686856333863e-01, -3.3687305507628808e-02,  3.1331815794683165e-01, -1.6739307129037936e-01,  8.5734667355047034e-02
     5,  1.9074e+02, -1.2863642260761479e-01, -2.4401945648397656e-02,  1.5084907538837930e-01,  1.2268835002776683e-01,  1.2126212852814053e-01, -3.3723926685248533e-02,  3.1319130948063945e-01, -1.6728368551677941e-01,  8.6224004147467961e-02
     6,  2.1024e+02, -1.2859724087912283e-01, -2.4442587617719034e-02,  1.5083874097092087e-01,  1.2272627937259237e-01,  1.2142997029827066e-01, -3.3728175766454128e-02,  3.1314872159070983e-01, -1.6726863013321056e-01,  8.6557120816229613e-02
     7,  2.2961e+02, -1.2858797183747320e-01, -2.4455183296748312e-02,  1.5083146092169467e-01,  1.2273666316762148e-01,  1.2146987653251365e-01, -3.3727557561767117e-02,  3.1313557016662807e-01, -1.6726811895824631e-01,  8.6765019600441820e-02
     8,  2.4849e+02, -1.2858572778361960e-01, -2.4458558500222334e-02,  1.5082913412444837e-01,  1.2273936317914799e-01,  1.2147956218532327e-01, -3.3727203995250331e-02,  3.1313204321201310e-01, -1.6726833152289688e-01,  8.6857263787636377e-02
     9,  2.6756e+02, -1.2858517247566495e-01, -2.4459417246150080e-02,  1.5082851563797375e-01,  1.2274004612412381e-01,  1.2148196076673416e-01, -3.3727100814354809e-02,  3.1313114507943202e-01, -1.6726840884170038e-01,  8.6897566853122069e-02
    10,  2.8707e+02, -1.2858503402560120e-01, -2.4459632870807709e-02,  1.5082835862864247e-01,  1.2274021738536088e-01,  1.2148255890066911e-01, -3.3727074054097389e-02,  3.1313091950095484e-01, -1.6726842972854411e-01,  8.6916573423490295e-02
    11,  3.0624e+02, -1.2858499943697127e-01, -2.4459686835621653e-02,  1.5082831922565951e-01,  1.2274026023396194e-01,  1.2148270833832225e-01, -3.3727067303067911e-02,  3.1313086304069238e-01, -1.6726843504829050e-01,  8.6928260872074864e-02
    12,  3.2524e+02, -1.2858499079131183e-01, -2.4459700330490726e-02,  1.5082830936547584e-01,  1.2274027094820057e-01,  1.2148274569172458e-01, -3.3727065611490005e-02,  3.1313084892151927e-01, -1.6726843638436542e-01,  8.5687725024074041e-02
