ln,lt,growth_rate,omega,ky,weighted_growth_rate
1.0,0.5,-0.00424670054117796,-0.10799496671895109,0.4,-0.005106097340854268
2.0,0.5,-0.0034595551294444686,-0.3046740692036308,0.5985111478955379,-0.006046352016691497
3.5,0.5,-0.004502841303854576,-0.49360696931397136,0.4,-0.0069168481317072724
0.5,0.5,-0.01015671220590905,0.003520531971543939,0.8955389853880861,-0.017218936075628518
1.5,0.5,-0.004164580858620362,-0.20960837927991993,0.5985111478955379,-0.0063066336098219775
3.0,0.5,-0.0036530061590439766,-0.4162439781384521,0.4,-0.004914979501792938
4.0,0.5,-0.005110775643642178,-0.5694750249935274,0.4,-0.007746141238997858
2.5,0.5,-0.003062057516282855,-0.40371990702480387,0.5985111478955379,-0.004629638969145884
5.0,0.5,-0.006554472968711045,-0.7404873898819824,0.4,-0.007877571445223126
4.5,0.5,-0.005800706774254138,-0.64897116779508,0.4,-0.007579074025057666
2.0,1.0,-0.003990310688147978,-0.06413057803846287,2.0049751858748066,-0.007702416116983746
5.5,0.5,-0.007367138816099677,-0.24574096508030704,1.339975165324572,-0.008311621352029033
1.5,1.0,-0.005902599659269152,0.0014126214863970157,2.9999999999999996,-0.007366769362049612
6.0,0.5,-0.008281643070299955,-0.9203937523052149,0.4,-0.009957755623235537
0.5,1.0,0.02377868171315767,0.06260280857752845,0.8955389853880861,0.019782145731383576
1.0,1.0,-0.00048622600074229655,0.05039849924351937,2.0049751858748066,-0.006559336831276981
2.5,1.0,-0.00352985724376613,-0.32753066495802075,0.4,-0.006366735901748865
4.5,1.0,-0.005467294173791405,-0.6376954100200565,0.4,-0.007825920507189643
3.5,1.0,-0.00420900667900356,-0.4825027039025398,0.4,-0.006659919950207249
3.0,1.0,-0.004067581243877543,-0.5242716591089838,0.8955389853880861,-0.0059503717952774675
4.0,1.0,-0.00456078189747949,-0.5596753679777157,0.4,-0.006759553187643218
5.5,1.0,-0.007844784046280525,-0.5163439199586394,2.0049751858748066,-0.009098138424758538
6.0,1.0,-0.008757075525137634,-0.9065667133025896,0.4,-0.010464059119601882
5.0,1.0,-0.006783974046324803,-0.7241260123124671,0.4,-0.008393192118398144
0.5,1.5,0.04566428212999741,0.050805315504676644,0.5985111478955379,0.04349270114725664
1.5,1.5,0.020350537815916708,0.01861565993967139,1.339975165324572,-0.002409627240204168
1.0,1.5,0.04341010932024624,0.03372590517871237,0.8955389853880861,0.02193009176413364
2.5,1.5,-0.003883517131818869,-0.04290748474124782,2.0049751858748066,-0.007116992422190779
2.0,1.5,-0.004762468763025067,-0.0014027765243299678,2.0049751858748066,-0.006801365439752696
3.0,1.5,-0.004368388973629231,-0.3546174891814021,0.8955389853880861,-0.006743445992686887
3.5,1.5,-0.004407982728584879,-0.4710648558376635,0.4,-0.007208986601907142
4.0,1.5,-0.004298906849774739,-0.5503881966667923,0.4,-0.006600347828855113
4.5,1.5,-0.005029392206974667,-0.6283626333074459,0.4,-0.007311173275865728
5.0,1.5,-0.006817533498111227,-0.7112591728550667,0.4,-0.008527863459353168
6.0,1.5,-0.009175592087440725,-0.16815943682224752,1.339975165324572,-0.010563338510335156
0.5,2.0,0.06313237728224486,0.07106378445909306,0.5985111478955379,0.0650822024173444
1.0,2.0,0.06927433651462127,0.06900441820283233,0.8955389853880861,0.04097683645869787
5.5,1.5,-0.00811596839465101,-0.7989819635931871,0.4,-0.009843367184421577
1.5,2.0,0.048591183627842774,0.07526835631970423,1.339975165324572,0.015158167028329316
2.0,2.0,0.030929751599576946,0.0073484362122342994,1.339975165324572,-0.0033181490778446503
2.5,2.0,-0.001669254118537009,0.0042829925337349115,2.0049751858748066,-0.005268296541580549
3.0,2.0,-0.00433898062842158,-0.31726718084964833,0.8955389853880861,-0.007367417076258546
3.5,2.0,-0.004702052336142942,-0.46006651686641653,0.4,-0.007390443301134086
4.0,2.0,-0.00430872528251325,-0.5408663435733665,0.4,-0.006361031653589426
5.0,2.0,-0.006627400908655968,-0.7009942153012654,0.4,-0.009052497854428453
4.5,2.0,-0.004816699196209501,-0.6198937949248989,0.4,-0.007140956435035283
5.5,2.0,-0.00809950170636245,-0.7840791722780331,0.4,-0.010156668468785298
6.0,2.0,-0.009452742296923639,-0.6086813773599595,2.9999999999999996,-0.010797151137482044
0.5,2.5,0.08022866789676199,0.08882243448264379,0.5985111478955379,0.08504308890542496
1.0,2.5,0.08883509214013495,0.10418212413603167,0.8955389853880861,0.06722072689952353
1.5,2.5,0.08107950753462344,0.03395759201830659,0.8955389853880861,0.03653036132698076
2.0,2.5,0.06584043815631062,0.05645625165401184,1.339975165324572,0.009357786949050552
2.5,2.5,0.03267442096850326,-0.005527214466633231,1.339975165324572,-0.0008388429109553139
3.0,2.5,0.006979803802687834,-0.3018664330205217,0.8955389853880861,-0.004299528273239531
3.5,2.5,-0.004627266698424787,0.0037629548248518364,2.9999999999999996,-0.008015228796877423
4.0,2.5,-0.004504595095399012,-0.5250003748626111,0.5985111478955379,-0.007094065029585903
4.5,2.5,-0.004935368399749124,-0.7542524068066538,0.5985111478955379,-0.007406455133464956
5.0,2.5,-0.006345859308970799,-0.6917692042641589,0.4,-0.00893091133102193
5.5,2.5,-0.007820316436794615,-0.77253961182673,0.4,-0.010406749649176853
6.0,2.5,-0.0095236820759294,-0.7464235763248271,1.339975165324572,-0.01083972072825738
0.5,3.0,0.09859029365838994,0.23563799320972267,0.8955389853880861,0.1045116737975379
2.0,3.0,0.09006422122827215,0.10631870164702854,1.339975165324572,0.03805539180866862
1.5,3.0,0.10672881574504653,0.06537365778475407,0.8955389853880861,0.058843786752342093
1.0,3.0,0.10689654778653462,0.13968316095068892,0.8955389853880861,0.09192430570085568
2.5,3.0,0.07665362360720099,0.03582506147198309,1.339975165324572,0.005981742390759611
